sd_multiplier,stop_loss_factor,stop_rate,total_pnl,avg_trade_return_pct,win_rate,max_drawdown,sharpe_ratio,worst_trade_pnl,tail_loss_5pct,return_on_capital,num_trades
0.5,0.5,0.9331210191082803,8233.790751263652,0.0004935261028262265,0.6656050955414012,-1727.2952144421658,0.8309027362266925,-882.7831378296074,-266.9265054867776,0.0005803266623859018,314
0.5,0.6,0.9076433121019108,6828.342603272495,0.0004101826107272433,0.6401273885350318,-2172.906243302246,0.6399667282409821,-1274.500152236802,-284.12635545180865,0.00048126912527822377,314
0.5,0.7,0.8789808917197452,5710.841797192046,0.00035110412962576057,0.6305732484076433,-3581.422824148478,0.4677553741542483,-2232.7868726242345,-303.9506279999539,0.000402506434726889,314
0.5,0.8,0.821656050955414,7214.203418970336,0.0004024086442530467,0.60828025477707,-3431.1648065943346,0.5147983640291074,-2232.7868726242345,-318.13831919510125,0.0005084650215651271,314
0.5,0.9,0.7484076433121019,8627.163483207696,0.0005343223028940257,0.5828025477707006,-4641.171975278838,0.6432105019778495,-2232.7868726242345,-320.9458789139852,0.0006080520068231133,314
0.5,1.0,0.7133757961783439,7887.470917964194,0.0004960933464276135,0.5668789808917197,-4699.762486396525,0.5803201394036582,-2232.7868726242345,-357.9165714777097,0.0005559176581923143,314
0.5,1.1,0.6496815286624203,9897.254838822351,0.0006631175978781734,0.5605095541401274,-4107.161689343918,0.7361746078543978,-2232.7868726242345,-381.31665527545334,0.0006975694477680291,314
0.5,1.2,0.5923566878980892,10389.638679096652,0.0006496383976113002,0.5605095541401274,-3808.526379801364,0.6557443470147192,-2232.7868726242345,-384.6126142296482,0.0007322732044302062,314
0.5,1.3,0.5445859872611465,10307.460135706282,0.000701963431139122,0.5382165605095541,-4043.379184142401,0.6699894288041405,-2232.7868726242345,-403.9081016796894,0.0007264811699656251,314
0.5,1.4,0.4872611464968153,11614.311034528491,0.0008493146212530128,0.5414012738853503,-4716.165264210389,0.7835035016932995,-2232.7868726242345,-428.3546745530129,0.0008185894640989338,314
0.5,1.5,0.43312101910828027,12786.553484660413,0.0009679378774468948,0.5573248407643312,-5063.504662126115,0.8754765685866652,-2232.7868726242345,-498.9323247988257,0.000901210406158668,314
0.5,1.6,0.37579617834394907,11845.427230395067,0.0008771230939156751,0.5668789808917197,-5379.870769915392,0.7651726048811852,-2232.7868726242345,-562.8947906219149,0.0008348787887395912,314
0.5,1.7,0.34076433121019106,13690.330137293358,0.0009409362000850327,0.5828025477707006,-5139.277720079078,0.8061854588190281,-2232.7868726242345,-567.8558843994279,0.0009649095824201349,314
0.5,1.8,0.31210191082802546,12731.31534924473,0.0008585496225547451,0.5923566878980892,-5958.655018027343,0.7180027471995166,-2232.7868726242345,-577.3197812675805,0.0008973171613907846,314
0.5,1.9,0.2770700636942675,10913.01391072297,0.0006665959706824686,0.6019108280254777,-5836.378640183324,0.5267682831527987,-2232.7868726242345,-607.155966571232,0.0007691612685698658,314
0.5,2.0,0.24203821656050956,9552.526755428942,0.0005621505690341865,0.6210191082802548,-6681.7619820195505,0.43107976799485204,-2232.7868726242345,-620.257826638632,0.0006732726318651374,314
0.7,0.5,0.8789808917197452,4431.174381349897,0.00026121222275059816,0.6464968152866242,-3015.0200183081843,0.40114874610404655,-1982.7450908755097,-247.64498088845423,0.00031364484579203685,314
0.7,0.6,0.7898089171974523,5737.552358216186,0.000314972424424887,0.6146496815286624,-2919.5013550571,0.4644225660362345,-1982.7450908755097,-270.3132469402499,0.00040611214313534725,314
0.7,0.7,0.7229299363057324,7020.489225655752,0.000432865355499019,0.60828025477707,-4108.733391549794,0.5963809654561719,-1982.7450908755097,-289.91508355911833,0.0004969202453040595,314
0.7,0.8,0.643312101910828,8469.707438375755,0.0005772366757090722,0.6050955414012739,-3846.452558812656,0.7495203627672754,-1982.7450908755097,-307.3599736824234,0.0005994979783674799,314
0.7,0.9,0.5732484076433121,7405.616659916319,0.0004532829513488297,0.589171974522293,-3747.0826360963124,0.5190120669556011,-1982.7450908755097,-354.5182572123519,0.0005241801146599886,314
0.7,1.0,0.4872611464968153,9828.475203771213,0.0007296992461070367,0.589171974522293,-4361.225830240108,0.7853939976725989,-1982.7450908755097,-384.86746769626075,0.0006956734997006804,314
0.7,1.1,0.4012738853503185,10602.76622286275,0.0007912758728488637,0.6114649681528662,-4743.236821835898,0.8153884989875844,-1982.7450908755097,-463.3009788949533,0.0007504789229093113,314
0.7,1.2,0.3503184713375796,11685.362319774713,0.0008309926133477361,0.6210191082802548,-4902.340470964595,0.834402720523541,-1982.7450908755097,-476.9226685238317,0.0008271066194631025,314
0.7,1.3,0.3089171974522293,11464.954732129623,0.0007925754209883346,0.6273885350318471,-4402.273829141649,0.7728113085648797,-1982.7450908755097,-489.2379600218755,0.0008115058558981897,314
0.7,1.4,0.25796178343949044,9939.985310102504,0.0006196526671084176,0.643312101910828,-4193.254555074942,0.5635506135767145,-1982.7450908755097,-510.52717683368417,0.0007035663441465532,314
0.7,1.5,0.21656050955414013,11178.849695212657,0.0007322811986492532,0.6719745222929936,-4075.64522810197,0.650724975108428,-1982.7450908755097,-529.1067844553002,0.0007912549331266037,314
0.7,1.6,0.18152866242038215,10102.91912751303,0.0006288698788071689,0.6910828025477707,-4075.6452281019706,0.5362547942868516,-1982.7450908755097,-609.261897577822,0.0007150990322418624,314
0.7,1.7,0.16560509554140126,9291.03971396037,0.0005712350133869839,0.6942675159235668,-4673.3149415307935,0.4815776744783961,-1982.7450908755097,-633.3513641248891,0.0006576330488363795,314
0.7,1.8,0.14331210191082802,8201.9292673549,0.0004944727908386286,0.7006369426751592,-5979.469277617432,0.40611413257842593,-1982.7450908755097,-668.3402778680038,0.0005805442573156074,314
0.7,1.9,0.1178343949044586,8725.765018088929,0.0005205465630060928,0.7101910828025477,-5843.8802486273835,0.42434126466817274,-1982.7450908755097,-681.3197856041703,0.000617622099241855,314
0.7,2.0,0.10191082802547771,7364.377975877762,0.0004018447513253223,0.7197452229299363,-5745.650244453677,0.3055801308506094,-1982.7450908755097,-751.9777196053958,0.0005212611817580523,314
0.9,0.5,0.7484076433121019,4686.512300138195,0.0002817508194050875,0.6401273885350318,-3436.986926731264,0.47274602273122907,-1711.3899491496288,-215.63309894442003,0.00033309492097417093,314
0.9,0.6,0.6560509554140127,6072.221672591997,0.00039534927368496344,0.6337579617834395,-3027.674620031179,0.633914628689983,-1711.3899491496288,-243.02625654679144,0.00043158452781827465,314
0.9,0.7,0.5732484076433121,4792.883839817909,0.00027227428920530177,0.6210191082802548,-3150.269453084266,0.37309758663370673,-1711.3899491496288,-284.0518111539144,0.00034065530219891887,314
0.9,0.8,0.46496815286624205,7456.058174906913,0.0005624585226389363,0.6401273885350318,-3714.2192730993365,0.730219265187449,-1711.3899491496288,-292.67684785523755,0.0005299410199939525,314
0.9,0.9,0.36942675159235666,8502.315697115104,0.000634487321078412,0.6656050955414012,-4179.18723315607,0.7894042315968492,-1711.3899491496288,-356.2006409616453,0.0006043040098592074,314
0.9,1.0,0.31210191082802546,8640.392883450966,0.0006017104907356227,0.6751592356687898,-3824.130201911285,0.7190626148786775,-1711.3899491496288,-418.9670222800654,0.0006141178770861266,314
0.9,1.1,0.25477707006369427,7906.1137637059965,0.000502450948917248,0.6847133757961783,-3500.5713017334833,0.5552454016525589,-1711.3899491496288,-429.54732041993014,0.0005619288226890598,314
0.9,1.2,0.20063694267515925,8187.335194260804,0.0005180386859996162,0.7133757961783439,-3370.1684623401175,0.5443616806143766,-1711.3899491496288,-468.47628193929745,0.0005819166994271909,314
0.9,1.3,0.1751592356687898,7659.07622051088,0.0004813007299235806,0.7229299363057324,-3524.9119307438327,0.495449631711005,-1711.3899491496288,-489.4833913689608,0.0005443705734712344,314
0.9,1.4,0.14331210191082802,6373.672479132974,0.0003861027808992577,0.7356687898089171,-5158.909111457555,0.38339818205346404,-1711.3899491496288,-550.3384721312062,0.0004530102120268504,314
0.9,1.5,0.11464968152866242,7413.969430211275,0.00045263162311362726,0.7515923566878981,-4599.589935703938,0.44664682282604856,-1711.3899491496288,-560.2552503026764,0.0005269495529518448,314
0.9,1.6,0.09872611464968153,6172.733002083725,0.00034285681629373475,0.7611464968152867,-4866.310686763164,0.31129467480849554,-1711.3899491496288,-637.8462522045887,0.0004387283932793914,314
0.9,1.7,0.08280254777070063,7285.239468357955,0.00041693731176028543,0.7707006369426752,-4221.287399378925,0.3726071721480786,-1711.3899491496288,-637.8462522045887,0.0005178000418176747,314
0.9,1.8,0.07006369426751592,7267.662239691301,0.00041409861090026116,0.7738853503184714,-4632.0892904087395,0.3673251589609289,-1711.3899491496288,-660.1429624860581,0.0005165507363174007,314
0.9,1.9,0.054140127388535034,6813.49904371825,0.00035083246420207205,0.7770700636942676,-5202.5272250155285,0.26094040419063635,-2233.7228137815537,-664.1508668865047,0.00048427098451400534,314
0.9,2.0,0.03821656050955414,4576.731731256741,0.00022101539107006638,0.7770700636942676,-7439.294537477035,0.15353729993367693,-3936.448721163836,-685.5226309136413,0.00032529224222840316,314
1.1,0.5,0.6496815286624203,3291.500186368267,0.0002039294717068465,0.6496815286624203,-2691.8995066279826,0.40133356233878836,-1407.8122824894467,-199.281419393356,0.0002349326347833229,314
1.1,0.6,0.5254777070063694,3572.5885313594417,0.00022004392187821876,0.6560509554140127,-2685.806646655146,0.362599175426708,-1407.8122824894467,-220.98910556987366,0.0002549954698908983,314
1.1,0.7,0.4012738853503185,4437.436428453037,0.000310506102524299,0.678343949044586,-3309.6953865916125,0.4862540827218478,-1407.8122824894467,-266.82320239103444,0.0003167244638592072,314
1.1,0.8,0.32802547770700635,4762.144600348212,0.0003131549268242266,0.6910828025477707,-3284.3912740464093,0.47120264439457643,-1407.8122824894467,-315.91295497571804,0.0003399006880851519,314
1.1,0.9,0.25477707006369427,4895.16856224812,0.0002904632701036736,0.7229299363057324,-3082.8555736961603,0.40348173699856094,-1407.8122824894467,-353.0123553053333,0.00034939534647462743,314
1.1,1.0,0.1942675159235669,5575.481977919912,0.00033178267409458514,0.7515923566878981,-2892.6245249118087,0.4418425551226993,-1407.8122824894467,-374.41345990843564,0.00039795309041282994,314
1.1,1.1,0.1624203821656051,4679.100933031788,0.0002721192071088675,0.7643312101910829,-3513.879433955071,0.35250320122890216,-1407.8122824894467,-389.1811426624951,0.0003339734006903292,314
1.1,1.2,0.12420382165605096,4440.72548901238,0.00025038070742241706,0.7898089171974523,-4566.586232482145,0.3112237642444439,-1407.8122824894467,-400.84569764738546,0.00031695922236427083,314
1.1,1.3,0.09872611464968153,3694.570081318673,0.00017258107992914945,0.8089171974522293,-4305.258187324469,0.19221366150537791,-1438.6704370719256,-510.4453016912561,0.00026370197005928976,314
1.1,1.4,0.08280254777070063,4525.901366118771,0.00022635604399590817,0.8184713375796179,-3719.392499419221,0.24775132073063288,-1438.6704370719256,-510.4453016912561,0.0003230386974046973,314
1.1,1.5,0.06369426751592357,4764.8847738455115,0.0002487777115799349,0.821656050955414,-4178.168696399157,0.271122131542706,-1438.6704370719256,-571.6945504293844,0.00034009626947449834,314
1.1,1.6,0.050955414012738856,3920.489096370137,0.00014117511757815197,0.8280254777070064,-4742.161031193719,0.12239995321319304,-2028.234313701634,-576.0729275487314,0.00027982706392181073,314
1.1,1.7,0.028662420382165606,1519.2311702153897,3.982558057094426e-07,0.8343949044585988,-6821.588638504825,0.00031232416805344,-3796.68348538829,-598.7743616519108,0.00010843595973101337,314
1.1,1.8,0.01910828025477707,2518.8467693640096,6.815739384877645e-05,0.8375796178343949,-5927.354710876303,0.05374285557819098,-3796.68348538829,-545.1533993988228,0.00017978407250071444,314
1.1,1.9,0.012738853503184714,1822.122781589737,1.8134529404823432e-05,0.8375796178343949,-6518.697027130476,0.01410433896438397,-3796.68348538829,-545.1533993988228,0.00013005501495958269,314
1.1,2.0,0.012738853503184714,1822.122781589737,1.8134529404823432e-05,0.8375796178343949,-6518.697027130476,0.01410433896438397,-3796.68348538829,-545.1533993988228,0.00013005501495958269,314
1.3,0.5,0.5445859872611465,2063.065133365818,0.00010677664278531884,0.6815286624203821,-1920.3384182063169,0.22256978227075336,-1096.0652253859462,-171.42144160921657,0.00014788149305887963,314
1.3,0.6,0.39490445859872614,2706.658998816433,0.00017237398064804576,0.7038216560509554,-2403.542754975184,0.34653274805655726,-1096.0652253859462,-192.32318144013232,0.00019401460839639539,314
1.3,0.7,0.3089171974522293,2924.614051852892,0.0001754796673054193,0.7229299363057324,-2450.7088636176904,0.3407110833762963,-1096.0652253859462,-220.7591559852694,0.00020963773058555008,314
1.3,0.8,0.21656050955414013,3659.4676444546244,0.00021514285179561143,0.7643312101910829,-2042.40926650471,0.3826437591951933,-1096.0652253859462,-274.095612132667,0.0002623123867057534,314
1.3,0.9,0.1751592356687898,3622.7175717622767,0.00020477702614543904,0.7802547770700637,-2042.4092665047099,0.35476350172458515,-1096.0652253859462,-297.4048256382336,0.0002596781239615131,314
1.3,1.0,0.1337579617834395,2875.9719924630663,0.00014431610994058793,0.802547770700637,-3228.2861535202355,0.23874730821164547,-1096.0652253859462,-327.0216608474156,0.0002061510445611052,314
1.3,1.1,0.09872611464968153,2656.86129868386,0.00010319596497437747,0.8312101910828026,-2879.8497193192147,0.148625085314799,-1283.6993860159666,-350.245704045495,0.0001904450854921481,314
1.3,1.2,0.07961783439490445,3110.5120064873718,0.00012737382888570146,0.8439490445859873,-2630.372186485693,0.17863114387722387,-1283.6993860159666,-382.9842028870834,0.00022296298466664076,314
1.3,1.3,0.05732484076433121,3541.9180522807446,0.00011058377203728968,0.856687898089172,-2915.697612631215,0.11695597052329963,-1796.8753672766877,-382.9842028870834,0.00025388637585520144,314
1.3,1.4,0.03184713375796178,546.9349413016363,-7.583046789015404e-05,0.8630573248407644,-4979.362472880467,-0.06982337558054193,-3562.990229943518,-436.7381581669321,3.920455753803626e-05,314
1.3,1.5,0.022292993630573247,647.9746306826917,-7.299796575194759e-05,0.8662420382165605,-4917.051684494777,-0.06681527014444565,-3562.990229943518,-436.7381581669321,4.644713067943714e-05,314
1.3,1.6,0.012738853503184714,441.6026800524414,-8.32586633819784e-05,0.8694267515923567,-5161.960833019772,-0.07528594631833192,-3562.990229943518,-417.54743577632564,3.165429079711855e-05,314
1.3,1.7,0.012738853503184714,441.6026800524414,-8.32586633819784e-05,0.8694267515923567,-5161.960833019772,-0.07528594631833192,-3562.990229943518,-417.54743577632564,3.165429079711855e-05,314
1.3,1.8,0.009554140127388535,1110.6022646358954,-4.739044914923411e-05,0.8694267515923567,-4659.355573380037,-0.043073199854289854,-3562.990229943518,-366.8484465189824,7.960850020327833e-05,314
