stop_loss_factor,stop_rate,total_pnl,avg_trade_return_pct,win_rate,max_drawdown,sharpe_ratio,worst_trade_pnl,tail_loss_5pct,return_on_capital,num_trades
0.1,0.9811320754716981,52.03756384401285,-0.0002001438691684873,0.7169811320754716,-1169.8054022826332,-0.31502555032506624,-613.4342113668322,-148.32952680823342,3.155321601019455e-05,53
0.15,0.9433962264150944,-177.40605158227896,-0.0003474595376172105,0.6792452830188679,-1169.8054022826332,-0.5340774302599951,-613.4342113668322,-187.36178590831526,-0.00010757097476490356,53
0.2,0.9056603773584906,2.9988592294164675,-0.0002477521587360565,0.6792452830188679,-1169.8054022826332,-0.37618296681293206,-613.4342113668322,-187.36178590831526,1.8183720770170189e-06,53
0.25,0.9056603773584906,123.7068015328476,-0.00017959490742440974,0.6792452830188679,-1169.8054022826334,-0.2704947256589229,-613.4342113668322,-187.36178590831526,7.501018768666481e-05,53
0.3,0.8679245283018868,56.74054376576086,-0.0002686524161946939,0.660377358490566,-1422.7790744445117,-0.39593543377289014,-613.4342113668322,-187.36178590831526,3.440488950143152e-05,53
0.35,0.8301886792452831,188.67787703948022,-0.00017851974138976176,0.6415094339622641,-1422.7790744445117,-0.25858857876611313,-613.4342113668322,-187.36178590831526,0.0001144056979380792,53
0.4,0.7924528301886793,153.53750301344775,-0.00020045304373436998,0.6226415094339622,-1422.7790744445117,-0.28881083986645006,-613.4342113668322,-187.36178590831526,9.309817063633747e-05,53
0.45,0.7169811320754716,432.54081421326225,-2.403485957819024e-05,0.6226415094339622,-1422.7790744445117,-0.03397468943469706,-613.4342113668322,-187.36178590831526,0.0002622731107283909,53
0.5,0.6981132075471698,538.4900331049969,3.709791919495305e-05,0.6226415094339622,-1422.7790744445117,0.052230418102321874,-613.4342113668322,-187.36178590831526,0.0003265159065637866,53
0.55,0.6415094339622641,743.8087367155861,0.00016687789712015728,0.6226415094339622,-1422.7790744445117,0.2302131665080472,-613.4342113668322,-187.36178590831526,0.0004510118461772896,53
0.6,0.6037735849056604,-171.61312894567425,-0.000395315085412636,0.6226415094339622,-2394.473031472134,-0.37968981396528756,-1206.505122332701,-217.86877690252214,-0.00010405840949895358,53
0.65,0.5094339622641509,682.469731092083,0.00021532643070346492,0.6792452830188679,-1896.3723511881321,0.19680955094446406,-1206.505122332701,-217.86877690252214,0.0004138186581931136,53
0.7,0.4528301886792453,1151.969151821576,0.000532594791844326,0.6981132075471698,-1546.8089864022757,0.4800580004130281,-1206.505122332701,-217.86877690252214,0.0006985017898505796,53
0.75,0.32075471698113206,1695.112157458343,0.0008832831110026244,0.7358490566037735,-1326.898518826866,0.7884403256601481,-1206.505122332701,-217.86877690252214,0.0010278390476948479,53
0.8,0.2641509433962264,1908.1248910509435,0.0009760892092490716,0.7735849056603774,-1515.1511307476467,0.8564480563512645,-1206.505122332701,-255.21197999202053,0.0011570002977509964,53
0.85,0.22641509433962265,1849.9968916795838,0.0009379561028277068,0.7735849056603774,-1650.1684883575085,0.8113370636920066,-1206.505122332701,-294.57559954112656,0.0011217541181661314,53
0.9,0.18867924528301888,2139.04878509342,0.001097145432989938,0.7924528301886793,-1650.1684883575085,0.9477808804151306,-1206.505122332701,-294.57559954112656,0.0012970220622686272,53
0.95,0.16981132075471697,1429.949609576568,0.000577744349018386,0.7924528301886793,-2282.378305635858,0.44050235194456056,-1206.505122332701,-424.08491440254534,0.0008670565180551589,53
