approach,total_pnl,avg_trade_return_pct,win_rate,max_drawdown,sharpe_ratio,worst_trade_pnl,tail_loss_5pct,return_on_capital,num_trades
A: no stop,-1536.0425497869305,-0.0002737951952153953,0.7655502392344498,-6663.887659421818,-0.2383533279698365,-3868.355745674404,-727.8684570227832,-0.00015024478166075848,209
B: fixed k=0.85,2485.9251132498894,0.0001922137544970521,0.631578947368421,-3525.774791997009,0.2983645005438364,-1531.6461043381385,-366.79237113293965,0.00024315555315641157,209
C: prior-year k,78.37334892289459,-0.00012442993986967643,0.6746411483253588,-5304.748696259714,-0.14854560761887614,-1531.6461043381385,-621.9640715261452,7.665924813460483e-06,209
D: expanding-window k,-1608.4527129820904,-0.0002578064887439767,0.645933014354067,-5758.137306804889,-0.32093098892035526,-1531.6461043381385,-552.6562130391122,-0.0001573274299642093,209
