year,pnl_A,sharpe_A,pnl_B,sharpe_B,k_C,pnl_C,sharpe_C,k_D,pnl_D,sharpe_D
2022,-2111.8994173927667,-0.7649496215201136,326.25405315731655,0.20753855965407125,1.6,-1554.0560291454753,-0.6470314137534006,1.65,-1554.0560291454753,-0.6470314137534006
2023,-801.3600214697843,-0.42452267436962954,750.3788557192894,0.8876891313788573,0.95,-112.07615661857528,-0.09478122478576495,0.9,-526.1026872162142,-0.4614555378218835
2024,1671.5429633637914,0.9445948866459275,101.19994717414613,0.09818837468782866,0.85,101.19994717414613,0.09818837468782866,0.8,-83.97747707512895,-0.02222786664620418
2025,-294.32607428816993,-0.23239994300277084,1308.0922571991373,0.2577660972693215,1.35,1643.3055875127989,0.2747108156195756,0.8,555.6834804547279,-0.026531254377464016
