stop_loss_factor,stop_rate,total_pnl,avg_trade_return_pct,win_rate,max_drawdown,sharpe_ratio,worst_trade_pnl,tail_loss_5pct,return_on_capital,num_trades
0.1,0.9904458598726115,5009.402436954605,0.00027566878529698875,0.7579617834394905,-1169.8054022826332,0.7922899504030555,-672.5869991569002,-105.57731335178406,0.00035681283518085695,314
0.15,0.9745222929936306,4870.284726233858,0.00025756174669449726,0.7356687898089171,-1169.8054022826332,0.7051369387373521,-672.5869991569002,-128.68989854600355,0.0003469036722795195,314
0.2,0.9617834394904459,4307.930901824728,0.00022899654122960348,0.7133757961783439,-1169.8054022826332,0.6034987716495978,-672.5869991569002,-161.73438538610836,0.0003068479840038127,314
0.25,0.9331210191082803,4363.072246605974,0.00024004668388802198,0.7006369426751592,-1169.8054022826334,0.6135001572149952,-672.5869991569002,-172.0277003537598,0.00031077562603591165,314
0.3,0.9076433121019108,3448.786504048455,0.00018372420686849046,0.6815286624203821,-1422.7790744445117,0.4317488973603019,-1052.3183425424781,-176.0178979795305,0.0002456523120133094,314
0.35,0.8789808917197452,2554.7912069310532,0.00012898378632387667,0.6719745222929936,-2208.834931362245,0.25780708927681467,-1531.6461043381385,-180.91478162642852,0.00018197425846951438,314
0.4,0.821656050955414,3054.027410918914,0.000142880216893359,0.6592356687898089,-2154.9030423963027,0.27990551015371157,-1531.6461043381385,-190.06114016937414,0.00021753416558652596,314
0.45,0.7484076433121019,3506.2709347369346,0.00019761242498158362,0.6528662420382165,-3045.7317672976874,0.36918416255622766,-1531.6461043381385,-199.17617501595828,0.0002497468488270024,314
0.5,0.7133757961783439,3155.6881942187515,0.00017770985732428406,0.6401273885350318,-3057.4373064901747,0.32492989675906,-1531.6461043381385,-216.5149167022107,0.0002247753231442274,314
0.55,0.6496815286624203,4133.169509857064,0.0002652255951552118,0.643312101910828,-2843.668367251021,0.46825576921326983,-1531.6461043381385,-221.8757777431401,0.00029439997078608367,314
0.6,0.5923566878980892,4064.860579668375,0.00022296665835409466,0.643312101910828,-2660.6976792941678,0.3436207933794662,-1531.6461043381385,-230.4869543877937,0.00028953441978363416,314
0.65,0.5445859872611465,4493.441861594262,0.00029304944012446246,0.643312101910828,-2866.3854626123907,0.4365585881071168,-1531.6461043381385,-240.5092327595758,0.0003200616741286433,314
0.7,0.4872611464968153,5044.314096898621,0.0003624737511991951,0.6464968152866242,-3387.7021510215177,0.5282469383336175,-1531.6461043381385,-264.2723190030009,0.0003592995446281952,314
0.75,0.43312101910828027,5960.63247240718,0.0004509152389017548,0.6656050955414012,-3607.151926107648,0.6462568079779485,-1531.6461043381385,-295.9253074110656,0.00042456764029596777,314
0.8,0.37579617834394907,6335.059405772241,0.0004644413664976444,0.678343949044586,-3773.0599280491,0.6467036185109688,-1531.6461043381385,-306.1601646719024,0.00045123755499008075,314
0.85,0.34076433121019106,7080.085791812128,0.0004948257349553866,0.6847133757961783,-3525.7747919970084,0.6796251013065459,-1531.6461043381385,-313.19847677406113,0.000504304758201059,314
0.9,0.31210191082802546,6622.201173510059,0.0004540760466040965,0.6847133757961783,-3562.9225966590443,0.6078540235880281,-1531.6461043381385,-372.6258979166314,0.0004716902675710369,314
0.95,0.2770700636942675,6094.961293582662,0.00038312247846231145,0.6942675159235668,-3247.3540546966897,0.48025797809921505,-1531.6461043381385,-388.6003434694651,0.000434135697191645,314
1.0,0.24203821656050956,5432.973706257574,0.00032496260232199196,0.7006369426751592,-3635.8211994660446,0.3953431245047974,-1531.6461043381385,-400.71136917913105,0.0003869832332279796,314
1.05,0.21656050955414013,6950.458497252967,0.0004547781688399519,0.7165605095541401,-3121.4127689080424,0.552338124179785,-1531.6461043381385,-400.71136917913105,0.0004950715845699549,314
1.1,0.1942675159235669,6996.350947589936,0.0004350515131283878,0.7292993630573248,-3137.3122361565247,0.5182227412128199,-1531.6461043381385,-421.8378434731261,0.0004983404405910506,314
1.15,0.17834394904458598,6067.768499148156,0.0003680980316836354,0.732484076433121,-3248.7872932771165,0.42967314614161667,-1531.6461043381385,-441.6691212746905,0.0004321987919018865,314
1.2,0.16560509554140126,5718.00668139872,0.0003462480423852752,0.7388535031847133,-4017.6059010721888,0.3998592337445448,-1531.6461043381385,-458.1359477546741,0.0004072857394171162,314
1.25,0.1464968152866242,4913.3985539597925,0.0002911876471852991,0.7484076433121019,-5198.496412812082,0.32647024318807616,-1531.6461043381385,-473.46230596345595,0.000349974610839557,314
1.3,0.1337579617834395,4700.441272203096,0.0002672423056560485,0.7547770700636943,-5369.8649177997895,0.29643704009130006,-1531.6461043381385,-491.7604177722124,0.00033480595700662393,314
1.35,0.11464968152866242,6116.516257438221,0.0003683714457232831,0.7707006369426752,-4508.77923758139,0.4096509024034346,-1531.6461043381385,-491.7604177722124,0.00043567102757532223,314
1.4,0.10191082802547771,4412.004925316307,0.00021969453591528165,0.7770700636942676,-4821.042872095418,0.2221125104226997,-1531.6461043381385,-587.5958885003008,0.00031426103333615684,314
1.45,0.09872611464968153,4842.159643891829,0.00025572333607601204,0.7802547770700637,-4818.926277756203,0.25892148824586464,-1531.6461043381385,-587.5958885003008,0.0003449003614063257,314
1.5,0.08917197452229299,4910.373144455198,0.00024991690817674126,0.7834394904458599,-4505.258463578693,0.24806735803103708,-1531.6461043381385,-596.8697240387124,0.000349759115088017,314
1.55,0.08280254777070063,5800.447687815329,0.0003192895226692166,0.7898089171974523,-4158.378691037888,0.318215261687601,-1531.6461043381385,-596.8697240387124,0.0004131578987424821,314
1.6,0.0732484076433121,5727.335419304001,0.00031231452773025696,0.7929936305732485,-4687.221906352255,0.3087249628890808,-1531.6461043381385,-644.0691379875539,0.0004079502125678632,314
1.65,0.06369426751592357,5965.4846189087075,0.00033586286465701323,0.7929936305732485,-4678.298211376676,0.3328615857152869,-1531.6461043381385,-644.0691379875539,0.00042491325200748667,314
1.7,0.05732484076433121,5735.676306661668,0.0002810172887271075,0.7961783439490446,-4686.826149804721,0.22941765112909224,-2099.9673261035127,-596.8697240387124,0.00040854432248485804,314
1.75,0.050955414012738856,5079.646349548475,0.0002280575659473759,0.7961783439490446,-5342.856106917914,0.18401330947813177,-2099.9673261035127,-644.0691379875539,0.00036181621231460795,314
1.8,0.03821656050955414,3030.3431196183556,0.00011305714917590576,0.7961783439490446,-7392.159336848032,0.08445484292815311,-3868.355745674404,-668.3558749304619,0.00021584716614206944,314
1.85,0.028662420382165606,2617.0356827069563,8.32532064504354e-05,0.7993630573248408,-7550.189838211711,0.061389654276447145,-3868.355745674404,-668.3558749304619,0.00018640784673786844,314
1.9,0.028662420382165606,2617.0356827069563,8.32532064504354e-05,0.7993630573248408,-7550.189838211711,0.061389654276447145,-3868.355745674404,-668.3558749304619,0.00018640784673786844,314
1.95,0.022292993630573247,3150.659700198465,0.00011315807416549214,0.802547770700637,-7016.565820720203,0.08352069787386146,-3868.355745674404,-668.3558749304619,0.00022441715044186426,314
2.0,0.01592356687898089,3352.346082333755,0.00013554539392390228,0.802547770700637,-6814.879438584914,0.10014512914063058,-3868.355745674404,-617.6093864211937,0.00023878299362031975,314
