year,k_A,pnl_A,sharpe_A,k_B_prev_year,pnl_B,sharpe_B
2021,0.85,2744.1637868826538,3.0065540773167054,0.9,2906.5561829315725,2.921914634963566
2022,0.85,326.25405315731655,0.20753855965407125,1.6,-1554.0560291454753,-0.6470314137534006
2023,0.85,750.3788557192894,0.8876891313788573,0.95,-112.07615661857528,-0.09478122478576495
2024,0.85,101.19994717414613,0.09818837468782866,0.85,101.19994717414613,0.09818837468782866
2025,0.85,1308.0922571991373,0.2577660972693215,1.35,1643.3055875127989,0.2747108156195756
