approach,total_pnl,avg_trade_return_pct,win_rate,max_drawdown,sharpe_ratio,worst_trade_pnl,tail_loss_5pct,return_on_capital,num_trades
A (k=0.85 fixed),5230.088900132543,0.00040484140737978146,0.6666666666666666,-3525.774791997009,0.6656015367656363,-1531.6461043381385,-321.7091266333334,0.0004221183767792466,261
B (prior-year k),2984.9295318544673,0.00016592864088541096,0.7011494252873564,-5304.748696259714,0.21267742388507727,-1531.6461043381385,-475.9535041655515,0.00024091246494011085,261
